City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mandurah,-32.55,115.7,64.0,73,100,3.0,AU,1601507065
Lorengau,-2.02,147.27,85.17,69,52,6.67,PG,1601507051
São Sebastião,-23.76,-45.41,73.76,86,55,4.34,BR,1601507065
Olden,61.84,6.81,52.0,98,98,7.58,NO,1601507065
Port Moresby,-9.44,147.18,80.6,83,75,17.22,PG,1601507066
Isabela,6.71,121.97,77.0,94,20,3.36,PH,1601506471
Miraflores,19.22,-98.81,73.4,31,75,4.7,MX,1601507067
Zemen,42.48,22.75,51.8,81,75,3.36,BG,1601507067
Nikolskoye,59.7,30.79,50.0,93,18,4.47,RU,1601506823
General Roca,-39.03,-67.58,57.2,24,0,14.99,AR,1601507067
Olafsvik,64.89,-23.71,40.12,71,70,12.3,IS,1601507068
Tinogboc,12.01,121.41,82.9,75,100,3.15,PH,1601507068
Shirokiy,49.76,129.52,43.88,74,17,4.38,RU,1601507069
Enumclaw,47.2,-121.99,77.0,65,0,4.03,US,1601507069
Tarko-Sale,64.92,77.78,37.99,88,93,6.8,RU,1601507069
Balkhash,46.84,74.98,41.23,62,100,17.63,KZ,1601507070
Butag,12.63,123.93,81.63,81,100,3.13,PH,1601507070
Qarayeri,40.79,46.31,60.8,77,75,6.93,AZ,1601507070
Malia,35.28,25.47,72.0,82,20,2.24,GR,1601507071
Cherskiy,68.75,161.3,39.97,91,99,8.95,RU,1601507055
Portland,45.52,-122.68,84.99,34,1,6.93,US,1601506984
Williamsburg,37.27,-76.71,68.0,64,1,6.6,US,1601507071
Vila Franca do Campo,37.72,-25.43,69.8,73,75,4.99,PT,1601506568
Eslöv,55.84,13.3,53.01,92,3,6.33,SE,1601506888
Gondanglegi,-7.75,112.01,77.72,80,22,12.64,ID,1601507072
Kinna,57.51,12.69,52.0,87,2,8.05,SE,1601507073
Beloha,-25.17,45.05,64.85,76,70,10.13,MG,1601506702
Simao,22.79,100.97,63.37,94,15,1.19,CN,1601507073
Wanaka,-44.7,169.15,47.03,63,83,5.17,NZ,1601507074
Derzhavīnsk,51.1,66.32,43.66,56,0,7.4,KZ,1601507074
Arcoverde,-8.42,-37.05,66.45,84,1,9.78,BR,1601507075
Daugai,54.37,24.33,53.6,81,100,9.17,LT,1601507075
Mahon,39.89,4.27,66.2,77,20,5.82,ES,1601507075
Bloemfontein,-29.12,26.21,46.4,36,0,4.7,ZA,1601506985
Ust'-Karsk,52.7,118.81,40.3,76,93,1.74,RU,1601506535
Saratovskaya,44.71,39.22,64.4,55,20,8.95,RU,1601507076
Severo-Kuril'sk,50.68,156.12,50.94,85,100,5.37,RU,1601506603
Santa Maria,-29.68,-53.81,77.0,88,18,10.29,BR,1601507073
Portobelo,9.55,-79.65,79.0,83,94,5.99,PA,1601507076
Cutlerville,42.84,-85.66,53.01,93,90,25.28,US,1601507076
Ambilobe,-13.2,49.05,71.55,91,29,3.31,MG,1601507077
Dekar,-21.53,21.93,73.49,24,33,8.95,BW,1601507077
Iqaluit,63.75,-68.51,32.0,91,20,6.93,CA,1601506873
Banyo,6.75,11.82,64.36,91,80,3.78,CM,1601507078
Muros,42.78,-9.06,63.0,93,100,8.99,ES,1601507078
Bonavista,48.65,-53.11,64.0,74,56,7.0,CA,1601506972
Saint-Louis,16.33,-15.0,89.6,55,0,2.24,SN,1601507078
Muncar,-8.43,114.33,76.62,87,27,0.63,ID,1601507079
Manggar,-2.88,108.27,81.12,78,100,8.12,ID,1601507079
Tabas,33.6,56.92,64.4,17,0,4.7,IR,1601506910
Belaya Gora,68.53,146.42,36.07,76,27,18.68,RU,1601507080
San Cristobal,7.77,-72.22,86.0,62,40,8.05,VE,1601506571
Igrim,63.19,64.42,43.38,90,0,4.74,RU,1601507080
Necochea,-38.55,-58.74,52.0,91,100,3.0,AR,1601506377
Havøysund,71.0,24.66,48.2,93,75,10.29,NO,1601507081
Halifax,44.65,-63.57,68.0,98,99,5.99,CA,1601506357
Rize,40.9,40.89,49.28,89,42,3.38,TR,1601507081
Khurba,50.41,136.88,47.57,79,0,2.75,RU,1601507082
Mamit,23.93,92.48,71.58,100,100,2.21,IN,1601507082
Goroka,-6.08,145.39,68.09,76,100,2.86,PG,1601507082
Ixtapa,20.7,-105.2,87.8,70,20,10.29,MX,1601507082
Parkes,-33.13,148.18,66.0,56,11,1.99,AU,1601507083
Trairi,-3.28,-39.27,77.9,78,22,13.56,BR,1601507083
Westport,41.14,-73.36,70.0,43,1,9.17,US,1601506513
Sokolo,14.73,-6.12,89.19,45,65,12.12,ML,1601507084
Vanavara,60.34,102.28,27.81,98,100,6.17,RU,1601506628
Kualakapuas,-3.01,114.39,75.2,100,20,2.24,ID,1601507084
Saquarema,-22.92,-42.51,75.2,88,16,18.34,BR,1601507085
Tucuruí,-3.77,-49.67,78.37,80,90,0.56,BR,1601507085
San Quintín,30.48,-115.95,88.39,29,0,12.53,MX,1601507085
Upington,-28.45,21.26,59.0,13,0,9.17,ZA,1601507085
Champerico,14.3,-91.92,80.6,88,75,6.93,GT,1601507086
Anshun,26.25,105.93,61.07,95,99,5.21,CN,1601507086
Ilebo,-4.32,20.58,73.04,82,18,1.41,CD,1601507087
Abu Dhabi,24.47,54.37,89.6,35,0,5.82,AE,1601507040
Shahdadpur,25.92,68.62,80.6,78,0,6.93,PK,1601507087
Kānt,27.8,79.8,73.69,59,0,3.33,IN,1601507087
Tessalit,20.2,1.01,89.89,12,1,9.91,ML,1601507062
Shimoda,34.67,138.95,60.01,93,100,9.01,JP,1601506682
Flinders,-34.58,150.86,66.0,64,70,5.01,AU,1601507070
Macenta,8.54,-9.47,68.94,96,99,1.16,GN,1601507088
Ous,60.91,61.52,44.71,88,20,3.42,RU,1601507089
Haines Junction,60.75,-137.51,49.3,64,98,3.06,CA,1601506368
Damara,4.96,18.7,71.6,94,20,3.36,CF,1601507089
Margherita,27.28,95.68,74.19,92,64,2.1,IN,1601507090
Aden,12.78,45.04,85.37,71,28,12.53,YE,1601506817
Cassilândia,-19.11,-51.73,87.85,15,30,6.13,BR,1601507090
Barcelos,41.54,-8.62,62.6,72,75,5.82,PT,1601507091
Kapit,2.02,112.93,74.71,91,100,0.89,MY,1601507091
Saint Anthony,45.02,-93.22,60.8,54,90,13.87,US,1601506545
Traverse City,44.76,-85.62,53.6,76,90,12.75,US,1601507091
Luganville,-15.53,167.17,78.8,83,75,13.87,VU,1601507092
Mahon,39.89,4.27,66.2,77,20,5.82,ES,1601507092
Vayalār,9.7,76.33,77.0,94,75,7.76,IN,1601507092
Talnakh,69.49,88.4,26.6,92,40,6.71,RU,1601506858
Yazman,29.12,71.74,88.05,27,0,15.43,PK,1601507093
Quepos,9.42,-84.17,68.0,94,90,5.82,CR,1601507084
Mareeba,-17.0,145.43,82.0,69,10,5.99,AU,1601507094
Uíge,-7.61,15.06,69.21,87,81,2.75,AO,1601507094
Hearst,49.68,-83.67,43.27,95,100,9.22,CA,1601507094
Kutum,14.2,24.67,76.39,62,100,17.96,SD,1601507095
Porto-Novo,6.5,2.6,80.6,83,40,13.87,BJ,1601507095
Zhigalovo,54.81,105.16,25.97,94,55,2.48,RU,1601507096
Homer,59.64,-151.55,57.2,71,90,3.36,US,1601507096
Belyy Yar,53.6,91.39,35.6,93,40,4.47,RU,1601507096
Flin Flon,54.77,-101.86,42.8,81,75,9.17,CA,1601507097
Vilhena,-12.74,-60.15,78.8,69,20,9.17,BR,1601506998
Mogadishu,2.04,45.34,77.38,82,10,14.38,SO,1601507097
Ust-Nera,64.57,143.2,30.96,86,0,4.92,RU,1601507098
Puerto Nariño,-3.77,-70.38,77.0,100,75,10.29,CO,1601507099
Karasuk,53.74,78.04,44.04,71,100,8.01,RU,1601507099
Margate,51.38,1.39,60.01,79,100,5.01,GB,1601506595
College,64.86,-147.8,60.8,53,90,11.41,US,1601507100
Vendychany,48.61,27.79,55.0,94,98,4.05,UA,1601507100
Sverdlovskiy,55.91,38.15,55.0,81,49,6.71,RU,1601507101
Loikaw,19.67,97.21,65.91,95,64,0.81,MM,1601507102
Tuensang,26.28,94.83,69.35,84,99,1.68,IN,1601507103
Volkhov,59.93,32.34,46.0,99,15,4.5,RU,1601507103
Inhambane,-23.86,35.38,71.01,85,65,12.95,MZ,1601507104
Rundu,-17.93,19.77,75.0,44,74,8.68,NA,1601507104
Jilib,0.49,42.79,72.43,92,0,3.78,SO,1601507105
Rafrāf,37.19,10.18,71.6,73,40,4.7,TN,1601507105
Lebowakgomo,-24.2,29.5,57.2,87,90,20.8,ZA,1601507106
Okha,53.57,142.95,50.54,76,0,8.3,RU,1601507098
Tahe,52.33,124.73,41.4,80,100,2.44,CN,1601507106
Kologriv,58.83,44.32,47.79,93,71,4.32,RU,1601507107
Alegrete,-29.78,-55.79,77.83,82,6,7.83,BR,1601507107
Rawson,-43.3,-65.1,55.83,37,0,17.74,AR,1601506641
Taber,49.82,-112.15,62.01,33,20,5.82,CA,1601507107
Banda Aceh,5.56,95.32,78.93,78,67,1.54,ID,1601506731
Ballina,-28.87,153.57,73.99,56,40,10.29,AU,1601506587
Mayumba,-3.43,10.66,75.4,80,89,5.99,GA,1601507108
Erenhot,43.65,111.98,42.35,61,0,35.57,CN,1601506922
Mikhaylovskoye,51.82,79.72,37.49,71,71,6.44,RU,1601507109
Anloga,5.79,0.9,78.8,83,40,12.75,GH,1601507109
San Jose,37.34,-121.89,91.0,42,90,9.17,US,1601506905
Yuzhno-Kurilsk,44.03,145.86,58.19,73,80,10.33,RU,1601507110
Egvekinot,66.32,-179.17,34.14,88,66,2.19,RU,1601507051
Dwārka,22.24,68.97,81.25,76,0,11.99,IN,1601507110
Buraidah,26.33,43.98,80.6,32,0,5.82,SA,1601507111
Naze,28.37,129.48,78.8,83,20,16.11,JP,1601506603
Acapulco de Juárez,16.86,-99.89,86.0,70,20,8.05,MX,1601507111
Bima,-8.47,118.72,79.38,75,77,3.31,ID,1601507111
Honningsvåg,70.98,25.97,50.54,85,97,10.49,NO,1601507112
Ulaangom,49.98,92.07,37.09,75,61,4.88,MN,1601506723
Lethem,3.38,-59.8,85.05,55,78,6.73,GY,1601507112
San Andrés,12.58,-81.7,84.49,70,100,4.25,CO,1601507005
Seriate,45.68,9.72,57.0,93,0,4.7,IT,1601507113
Nouadhibou,20.93,-17.03,75.6,74,0,20.18,MR,1601507113
Aberfeldy,56.62,-3.86,51.01,95,97,3.51,GB,1601507113
Pochutla,15.74,-96.47,86.0,70,75,8.05,MX,1601507114
Cerro Largo,-28.15,-54.74,87.8,48,63,8.05,BR,1601507005
Santa Vitória do Palmar,-33.52,-53.37,61.74,85,60,7.47,BR,1601507114
Leshukonskoye,64.9,45.76,48.31,93,100,5.14,RU,1601507115
Zyryanka,65.75,150.85,40.41,62,38,6.22,RU,1601506548
Takoradze,4.88,-1.76,76.05,89,89,9.37,GH,1601506692
Magnolia,33.27,-93.24,84.2,35,1,8.05,US,1601507115
Sangar,63.92,127.47,34.16,85,100,4.21,RU,1601507116
Gushikawa,26.35,127.87,73.4,73,1,4.7,JP,1601507116
Lokosovo,61.13,74.82,42.84,93,100,2.55,RU,1601507117
